PC1,PC2,PC3,PC4,PC5,PE,PP,PS
-6.464172177517472,0.012113201909761022,0.00032879998014020495,-0.00040162186597964326,0.00017352103147612219,True,False,False
-6.462561923018724,-0.00183582406076355,-0.00230342189596335,0.0031433837599085623,0.0004527591445108875,True,False,False
-6.459538954192622,-0.00122144016092611,0.0019032301150214604,0.0009735704108823751,0.00016772813835043155,True,False,False
-6.460147062587699,-0.005086671560819932,-0.002279616417543751,0.0002043479826080452,0.0013767262473975885,True,False,False
-6.460136810073996,-0.0019982879053678337,-0.003880476151132326,-0.001743634017694396,0.0013028288905781026,True,False,False
-6.463469253660688,0.010906279533636737,0.0006756282883749832,-0.000474356707034027,-0.0006421959098254965,True,False,False
-6.460743074264611,-0.007498599255906886,0.004086236224157986,0.003334193654588413,0.0026544289342902722,True,False,False
-6.464897629111729,0.013850911425781716,0.001285965872397916,-0.0010012239241044669,0.0008838613269296218,True,False,False
-6.460804870538456,0.0027248277023332757,-0.0005173663161346514,-0.0015436519517917546,0.0006151677353064941,True,False,False
-6.457255394855912,-0.008657439957582516,0.0001719018512071184,-0.00035698191158677045,-0.0008203474515455388,True,False,False
-6.458006213699678,-0.007858751440596548,-0.0030911738630615805,-0.0020047019833628454,0.0006894083368936519,True,False,False
-6.462161085252066,0.007916250550811013,0.004354437570126246,-0.0010072476572329874,0.0019783865413943343,True,False,False
-6.45644151583591,-0.009389250449239857,0.001822515037576953,-0.00036979328023679854,0.0008306622046014302,True,False,False
-6.458045983302287,-0.0061360595366110595,0.001338187771732562,0.0015170010558600289,-4.2873335344357685e-05,True,False,False
-6.4590501705005074,0.0014709206769923323,0.0024320135443632145,-0.0012416574801922698,-5.216957007360693e-05,True,False,False
-6.461456876848957,0.003896369406723976,-0.0006307633550771364,-0.0021513426735066316,0.0007417359862048388,True,False,False
-6.463760414817066,0.01063690230533583,0.00021735367705316792,-0.000266722225908533,-0.00019145172354784654,True,False,False
-6.46256562051852,-0.003018582238564899,-0.002666352859415732,0.003292145353115145,-0.00016228869309942121,True,False,False
-6.455664210112616,-0.007692232608265428,0.004535025000550274,-0.0008089668564096746,-0.0014049271461796763,True,False,False
-6.462940135148768,0.00745287126278581,-0.0005083463552656828,-0.0006001216635943609,0.0005802204428757628,True,False,False
-6.457793527467343,-0.008764554876235167,0.002905838130730203,0.002058117135166038,-0.003094855589875924,True,False,False
-6.461724568947554,0.004381824317373242,-0.0015307907535928977,6.558137066415701e-06,-0.0004699084055592789,True,False,False
-6.464817241322761,0.008880411610166585,-0.0036971968274615214,0.0026185417823996254,-0.0023696104136959667,True,False,False
-6.456588617110747,-0.010235765986639132,-0.0014990200903002861,-0.0023152944100831357,-0.0005942563050728246,True,False,False
-6.455833812407851,-0.00898742645122651,0.004655835871560021,-0.00023567655043710685,-0.0005552552366535418,True,False,False
-6.458873280056498,-0.002934141316730811,0.0030312406268619145,0.0010302767932535465,0.002808336643939699,True,False,False
-6.46250859791082,0.003298825602193368,-0.0011377237683630496,0.0012229453458063235,0.00395618708915171,True,False,False
-6.455826394870007,-0.01024110406474392,-0.002229675733968951,-0.004075166691187252,0.00021981657522802435,True,False,False
-6.456230650184202,-0.007702610089246734,0.0012944304717591691,-0.001579973045917441,-0.0006297287538772717,True,False,False
-6.459644559274054,-0.004029523708481631,-0.0006823096817747797,0.0004521137081684575,0.003949097628119574,True,False,False
-6.468973788822106,0.026036497910084007,0.0016490103312613732,-0.001155418392609363,-0.003109705702433233,True,False,False
-6.463389995368007,0.000257931067437596,-0.002899419937968953,0.002958446554228377,-0.0011729086898677392,True,False,False
